CHEMICAL_ID,COMP_ID,                               Group   HMDB_ID,                               Sample   HMDB_ID,BIOCHEMICAL,CAS,CHEMSPIDER,KEGG,MASS,PATHWAY_SORTORDER,PLATFORM,PUBCHEM,RI,SUB_PATHWAY,SUPER_PATHWAY,COMMENT
100016038,57814,,,(N(1) + N(8))-acetylspermidine,,,,188.17574,403.0,LC/MS Pos Early,,3080.0,Polyamine Metabolism,Amino Acid,(N(1) + N(8))-acetylspermidine
100006373,48761,,,"1,2,3-benzenetriol sulfate (1)",,,,204.98123,4586.0,LC/MS Neg,,1453.0,Chemical,Xenobiotics,"1,2,3-benzenetriol sulfate (1)"
100006374,48762,,,"1,2,3-benzenetriol sulfate (2)",,,,204.98123,4583.0,LC/MS Neg,,1709.0,Chemical,Xenobiotics,"1,2,3-benzenetriol sulfate (2)"
100008903,52603,HMDB08138,,"1,2-dilinoleoyl-GPC (18:2/18:2)",998-06-1,4450312.0,,782.56944,1745.0,LC/MS Pos Late,5288075.0,2006.0,Phosphatidylcholine (PC),Lipid,"1,2-dilinoleoyl-GPC (18:2/18:2)"
100009217,53174,HMDB09093,,"1,2-dilinoleoyl-GPE (18:2/18:2)*",,7825762.0,,740.52248,1811.0,LC/MS Pos Late,9546812.0,2083.0,Phosphatidylethanolamine (PE),Lipid,"1,2-dilinoleoyl-GPE (18:2/18:2)*"
100000657,19130,HMDB00564,,"1,2-dipalmitoyl-GPC (16:0/16:0)",63-89-8,398235.0,D03585,734.56944,1658.0,LC/MS Pos Late,452110.0,2365.0,Phosphatidylcholine (PC),Lipid,"1,2-dipalmitoyl-GPC (16:0/16:0)"
100001397,34404,HMDB02123,,"1,3,7-trimethylurate",5415-44-1,71754.0,C16361,209.06801000000002,3587.0,LC/MS Neg,79437.0,1985.0,Xanthine Metabolism,Xenobiotics,"1,3,7-trimethylurate"
100001106,32391,HMDB01857,,"1,3-dimethylurate",944-73-0,63527.0,,195.05236000000002,3584.0,LC/MS Neg,70346.0,1671.4,Xanthine Metabolism,Xenobiotics,"1,3-dimethylurate"
100000580,20675,HMDB02712,,"1,5-anhydroglucitol (1,5-AG)",154-58-5,,C07326,163.06118999999998,875.0,LC/MS Neg,64960.0,802.0,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Carbohydrate,"1,5-anhydroglucitol (1,5-AG)"
100001399,34400,HMDB11103,,"1,7-dimethylurate",33868-03-0,82720.0,C16356,195.05236000000002,3585.0,LC/MS Neg,91611.0,1578.6,Xanthine Metabolism,Xenobiotics,"1,7-dimethylurate"
100005372,44621,,,1-(1-enyl-oleoyl)-GPE (P-18:1)*,,,,464.3136,2150.0,LC/MS Pos Late,,1566.0,Lysoplasmalogen,Lipid,1-(1-enyl-oleoyl)-GPE (P-18:1)*
100009014,52689,HMDB11220,,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,,24767495.0,,766.57452,2131.0,LC/MS Pos Late,,2154.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
100009002,52673,HMDB11352,,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,,24769238.0,,724.52757,2123.0,LC/MS Pos Late,,2270.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*
100009009,52682,HMDB11211,,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,,24767486.0,,742.57452,2132.0,LC/MS Pos Late,,2226.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*
100009069,52677,HMDB11343,,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,,24769229.0,,700.52757,2120.0,LC/MS Pos Late,,2351.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
100009007,52478,,,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,,,,744.5901700000001,2125.0,LC/MS Pos Late,,2443.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*
100009005,52477,HMDB11342,,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,,24769228.0,,702.54322,2119.0,LC/MS Pos Late,,2600.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*
100009160,52713,HMDB11207,,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,,24767482.0,,716.5588700000001,2122.0,LC/MS Pos Late,,2218.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
100009162,52716,HMDB11206,,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,,9322076.0,,718.57452,2121.0,LC/MS Pos Late,11146967.0,2454.0,Plasmalogen,Lipid,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
100002875,52474,HMDB10407,,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,,9093054.0,,480.34485,2147.0,LC/MS Pos Late,10917802.0,1547.0,Lysoplasmalogen,Lipid,1-(1-enyl-palmitoyl)-GPC (P-16:0)*
100003000,39270,,,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,,10471193.0,,438.2979,2148.0,LC/MS Pos Late,,1558.0,Lysoplasmalogen,Lipid,1-(1-enyl-palmitoyl)-GPE (P-16:0)*
100008999,52475,HMDB05779,,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,,7826008.0,,752.5588700000001,2135.0,LC/MS Pos Late,9547058.0,2511.0,Plasmalogen,Lipid,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
100009225,52748,HMDB11376,,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,,24769261.0,,728.5588700000001,2128.0,LC/MS Pos Late,,2633.0,Plasmalogen,Lipid,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
100008919,52614,HMDB11375,,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),144371-68-6,24769260.0,,730.57452,2127.0,LC/MS Pos Late,,2950.0,Plasmalogen,Lipid,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)
100003001,39271,,,1-(1-enyl-stearoyl)-GPE (P-18:0)*,,,,466.3292,2152.0,LC/MS Pos Late,,1649.0,Lysoplasmalogen,Lipid,1-(1-enyl-stearoyl)-GPE (P-18:0)*
100004442,46325,,,1-arachidonoyl-GPA (20:4),799268-65-8,,,457.23605999999995,1928.0,LC/MS Neg,,5499.0,Lysophospholipid,Lipid,1-arachidonoyl-GPA (20:4)
100001551,33228,HMDB10395,,1-arachidonoyl-GPC (20:4n6)*,,21403155.0,C05208,544.33977,1963.0,LC/MS Pos Late,,1460.0,Lysophospholipid,Lipid,1-arachidonoyl-GPC (20:4n6)*
100001571,35186,HMDB11517,,1-arachidonoyl-GPE (20:4n6)*,,21403171.0,,502.29282,1995.0,LC/MS Pos Late,42607465.0,1470.0,Lysophospholipid,Lipid,1-arachidonoyl-GPE (20:4n6)*
100001654,34214,HMDB61690,,1-arachidonoyl-GPI (20:4)*,,,,619.28888,2026.0,LC/MS Neg,,5482.0,Lysophospholipid,Lipid,1-arachidonoyl-GPI (20:4)*
100001433,34397,HMDB11549,,1-arachidonylglycerol (20:4),35474-99-8,4445452.0,C13857,303.23292999999995,2175.0,LC/MS Neg,5282281.0,6250.0,Monoacylglycerol,Lipid,1-arachidonylglycerol (20:4)
100006121,48341,,,1-dihomo-linolenylglycerol (20:3),,,,305.24858,2174.0,LC/MS Neg,,6400.0,Monoacylglycerol,Lipid,1-dihomo-linolenylglycerol (20:3)
100001483,35103,,,1-dihomo-linoleoylglycerol (20:2),,21403143.0,,307.26423,1316.0,LC/MS Neg,,6800.0,"Fatty Acid, Keto",Lipid,1-dihomo-linoleoylglycerol (20:2)
100001481,35153,HMDB11587,,1-docosahexaenoylglycerol (22:6),,10477810.0,,309.22236000000004,2178.0,LC/MS Neg,,6150.0,Monoacylglycerol,Lipid,1-docosahexaenoylglycerol (22:6)
100002873,49617,HMDB10405,,1-lignoceroyl-GPC (24:0),325171-59-3,24766539.0,,608.46497,1974.0,LC/MS Pos Late,,1907.0,Lysophospholipid,Lipid,1-lignoceroyl-GPC (24:0)
100005350,45951,HMDB10388,,1-linolenoyl-GPC (18:3)*,,,,518.32412,1949.0,LC/MS Pos Late,,1422.0,Lysophospholipid,Lipid,1-linolenoyl-GPC (18:3)*
100001435,34393,HMDB11569,,1-linolenoylglycerol (18:3),124151-74-2,21403134.0,,277.21727999999996,2171.0,LC/MS Neg,53480978.0,6214.0,Monoacylglycerol,Lipid,1-linolenoylglycerol (18:3)
100009131,52710,HMDB08147,,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,,24766809.0,,806.56944,1761.0,LC/MS Pos Late,,1969.0,Phosphatidylcholine (PC),Lipid,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
100009343,53176,HMDB08141,,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,,24766802.0,,780.55378,1746.0,LC/MS Pos Late,,1939.0,Phosphatidylcholine (PC),Lipid,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
100009082,52690,HMDB07856,,1-linoleoyl-GPA (18:2)*,,24766514.0,,433.23605999999995,1926.0,LC/MS Neg,,5483.0,Lysophospholipid,Lipid,1-linoleoyl-GPA (18:2)*
100001395,34419,HMDB10386,,1-linoleoyl-GPC (18:2),,10160888.0,C04100,520.33977,1947.0,LC/MS Pos Late,11988421.0,1465.0,Lysophospholipid,Lipid,1-linoleoyl-GPC (18:2)
100001570,36600,HMDB11507,,1-linoleoyl-GPE (18:2)*,,21403170.0,,478.29282,1988.0,LC/MS Pos Late,52925130.0,1482.0,Lysophospholipid,Lipid,1-linoleoyl-GPE (18:2)*
100009227,54885,,,1-linoleoyl-GPG (18:2)*,,,,507.27284000000003,2014.0,LC/MS Neg,,5516.0,Lysophospholipid,Lipid,1-linoleoyl-GPG (18:2)*
100001778,36594,,,1-linoleoyl-GPI (18:2)*,,,,595.28888,2022.0,LC/MS Neg,,5494.0,Lysophospholipid,Lipid,1-linoleoyl-GPI (18:2)*
100001040,27447,,,1-linoleoylglycerol (18:2),2277-28-3,4446589.0,,279.23292999999995,2170.0,LC/MS Neg,5283469.0,6477.0,Monoacylglycerol,Lipid,1-linoleoylglycerol (18:2)
100001051,30460,HMDB00001,,1-methylhistidine,332-80-9,83153.0,C01152,168.07785,63.0,LC/MS Neg,92105.0,1227.0,Histidine Metabolism,Amino Acid,1-methylhistidine
100001208,32350,HMDB02820,,1-methylimidazoleacetate,2625-49-2,68319.0,C05828,141.06586000000001,77.0,LC/MS Pos Early,75810.0,2064.0,Histidine Metabolism,Amino Acid,1-methylimidazoleacetate
55,27665,HMDB00699,,1-methylnicotinamide,1005-24-9,8305504.0,C02918,137.07093999999998,3389.0,LC/MS Pos Early,10129985.0,1940.0,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,1-methylnicotinamide
100001400,34395,HMDB03099,,1-methylurate,708-79-2,62926.0,C16359,183.05127,3582.0,LC/MS Pos Early,69726.0,1461.0,Xanthine Metabolism,Xenobiotics,1-methylurate
100001405,34389,HMDB10738,,1-methylxanthine,6136-37-4,72464.0,C16358,165.0418,3588.0,LC/MS Neg,80220.0,1568.8,Xanthine Metabolism,Xenobiotics,1-methylxanthine
100009139,53195,HMDB07883,,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,,24766559.0,,754.53813,1649.0,LC/MS Pos Late,,1914.0,Phosphatidylcholine (PC),Lipid,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
