#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	eggNOG OGs	narr_og_name	narr_og_cat	narr_og_desc	best_og_name	best_og_cat	best_og_desc	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
DBPAGJON_00001	411462.DORLON_02126	5.6e-39	168.3	29XBB@1|root,30J10@2|Bacteria,1U1I0@1239|Firmicutes,25IXA@186801|Clostridia,27X5G@189330|Dorea	27X5G@189330|Dorea	S	Protein of unknown function (DUF2971)	25IXA@186801|Clostridia	S	Protein of unknown function (DUF2971)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2971
DBPAGJON_00002	1280686.AUKE01000033_gene680	2.1e-71	275.8	28JDD@1|root,2Z97S@2|Bacteria,1TRNJ@1239|Firmicutes,24HDV@186801|Clostridia,4BYZU@830|Butyrivibrio	4BYZU@830|Butyrivibrio	-	-	24HDV@186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00003	1541960.KQ78_01325	4.3e-14	86.3	28MDW@1|root,2ZARP@2|Bacteria	2ZARP@2|Bacteria	S	Bacteriophage abortive infection AbiH	2ZARP@2|Bacteria	S	Bacteriophage abortive infection AbiH	-	-	-	-	-	-	-	-	-	-	-	-	AbiH
DBPAGJON_00004	397287.C807_02812	5.2e-94	351.7	COG2110@1|root,COG2110@2|Bacteria,1UDM6@1239|Firmicutes,25IDI@186801|Clostridia,27S4T@186928|unclassified Lachnospiraceae	27S4T@186928|unclassified Lachnospiraceae	S	Macro domain	25IDI@186801|Clostridia	S	Macro domain	-	-	-	-	-	-	-	-	-	-	-	-	Macro
DBPAGJON_00005	1246995.AFR_05900	1.5e-55	222.6	arCOG13037@1|root,3342X@2|Bacteria	3342X@2|Bacteria	-	-	3342X@2|Bacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00006	318464.IO99_03585	7.8e-117	427.6	2E2ST@1|root,32XV1@2|Bacteria,1VDTP@1239|Firmicutes	1VDTP@1239|Firmicutes	-	-	1VDTP@1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00008	693746.OBV_10680	5e-63	248.4	COG0515@1|root,COG0515@2|Bacteria,1V7U3@1239|Firmicutes,25AZB@186801|Clostridia,2N7MY@216572|Oscillospiraceae	2N7MY@216572|Oscillospiraceae	KLT	Protein kinase domain	25AZB@186801|Clostridia	KLT	Serine threonine protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	APH,Choline_kinase,Haspin_kinase,Kdo,Kinase-like,Pkinase,Pkinase_Tyr,Seadorna_VP7,WaaY
DBPAGJON_00009	411459.RUMOBE_00765	8.3e-64	250.8	2ETWK@1|root,33MDT@2|Bacteria,1VP7T@1239|Firmicutes	1VP7T@1239|Firmicutes	-	-	1VP7T@1239|Firmicutes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DBPAGJON_00010	411468.CLOSCI_00176	0.0	1386.3	COG0326@1|root,COG0326@2|Bacteria,1U5JR@1239|Firmicutes,25Q1U@186801|Clostridia,223FQ@1506553|Lachnoclostridium	223FQ@1506553|Lachnoclostridium	O	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	25Q1U@186801|Clostridia	O	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HATPase_c_3,Metallophos
DBPAGJON_00011	1408436.JHXY01000081_gene1439	1.6e-12	79.3	COG4372@1|root,COG4372@2|Bacteria,1UKAY@1239|Firmicutes,25FTM@186801|Clostridia	25FTM@186801|Clostridia	S	Transposase IS66 family	25FTM@186801|Clostridia	S	Transposase IS66 family	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_IS66,LZ_Tnp_IS66
